address,area,city,state,room_type,room_count,room_facilities,site_review_rating,site_review_count,Property_id,Property_name,Property_type
Air-force Circle Dibba Para,Jaisalmer Fort Area,Jaisalmer,Rajasthan,Deluxe Room,13,Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Ceiling Fan|Hairdryer (on request)|Internet Connection In Room|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Window Opens|Slippers|Patio - Property|Coffee Table|TV|Mirror|Mini Refrigerator|Attached Bathroom,3.8,14,116,Property_116,Type_2
"Kahilipara Road Jatia, Dispur Guwahati-781006",Odalbakra Main Road,Guwahati,Assam,Deluxe suit,35,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Newspapers|Reading Lamps| Hot / Cold Running Water|Housekeeping|Safe - In - Room |Coffee Table|Wardrobe|Mini Refrigerator|Dressing Area|Bathtub|Daily Room Cleaning|Dustbins,3,2,118,Property_118,Type_1
"Chandelao, Jodhpur, Rajasthan",Others,Jodhpur,Rajasthan,Deluxe Room,7,Room Service |Air Conditioning |Balcony / Terrace|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|Window Opens|Coffee Table|Attached Bathroom,4.7,5,120,Property_120,Type_0
"On the banks of River Mandovi, Betim",Betim,Goa,Goa,Wooden Cottage,2,Air Conditioning |Attached Bathroom,4.5,13,121,Property_121,Type_1
"Bhawna Tower,Kailashouri Crossing, Sector 16B, Awas Vikas,Sikandra",Sikandra,Agra,Uttar Pradesh,Superior Room,53,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Iron / Ironing board available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Telephone|Safe - In - Room |TV,4.1,164,122,Property_122,Type_2
"North Cliff End, Thiruvambadi Beach,",North Helipad Cliff,Varkala,Kerala,Standard Non Ac Room,7,Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Crockery / Cutlery|Ensuite / Private Bathroom|Tea Coffee Kettle / Maker|Telephone| Hot / Cold Running Water|Safe - In - Room,3.1,13,124,Property_124,Type_1
"Besides Old Bus Stand, Hubli",Bus Stand Area,Hubli,Karnataka,Deluxe Room,50,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone| Hot / Cold Running Water|Housekeeping|Window Opens|Coffee Table|HD / LCD Satellite TV |TV|Mirror|Bedside Table|Daily Room Cleaning|In-room Storage Space|Western Toilet Seat,3.7,11,125,Property_125,Type_2
"Near Telephone Exchange, Belwakhan, Jeolikote - 263127, Nainital - Uttarakhand",Others,Nainital,Uttarakhand,Safari Tent,4,Housekeeping|Breakfast Available,4.7,3,126,Property_126,Type_0
"H.No. 587, Opp the new Baga bridge, Goa",Baga Area,Goa,Goa,Deluxe Room,7,"Room Service |Balcony / Terrace|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Mineral Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Window Opens|Mirror|Closet|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Dustbins|Modern Toilet Facilities|Sufficient Lighting|Western Toilet Seat|Breakfast chargeable",4.7,5,129,Property_129,Type_0
NO 101 Maithri layout Hope farm circle Whitefield,Whitefield,Bangalore,Karnataka,Deluxe Room,35,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|Mirror|Dressing Area|Luggage Rack,5,3,130,Property_130,Type_1
"House no 327, Sector 47, Gurgaon",Others,Gurgaon,Haryana,Standard Room,1,"Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Newspapers|Shower Caps Available|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Makeup / Shaving Mirror|Climate Control|Sofa Cum Bed Available",5,1,135,Property_135,Type_0
"Sy. No.69, Bommuru Agrahara Village, Paschima Vahini Circle, Off Mysore-Bangalore Highway, Srirangapatna Taluk",Others,Mysore,Karnataka,2 Bedded Room,7,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Toiletries|Window Opens|Makeup / Shaving Mirror|HD / LCD Satellite TV |Mirror|Dressing Area|Attached Bathroom,4.6,16,136,Property_136,Type_1
"PNG ROAD,NEAR PALZOR NAMGYAL GIRLS HIGH SCHOOL GATE, Gangtok",Paljor Stadium Road,Gangtok,Sikkim,Deluxe rooms,18,"Room Service |Air Conditioning |Alarm Clock|Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)|Reading Lamps|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Sofa Cum Bed Available|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Moisturiser|Blackout Drapes|Handheld Showers|Hill View from all Rooms|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |TV|Room Heater|Rollaway Beds|Mirror|Custom Duvets / Linen|Dressing Area|Luggage Rack|Attached Bathroom|Closet",4.5,20,138,Property_138,Type_0
"12th Mile, Tonk Road,",Sitapura,Jaipur,Rajasthan,Cottages,110,Air Conditioning |Iron / Ironing board available|Telephone| Hot / Cold Running Water|Safe - In - Room |TV,4.3,104,139,Property_139,Type_1
"Beach No. 5, vijay Nagar Beach",Vijay Nagar Beach,Havelock Island,Andaman and Nicobar Islands,Deluxe A/C Room,8,Air Conditioning |Basic Bathroom Amenities|Tea Coffee Kettle / Maker|Refrigerator|Telephone|HD / LCD Satellite TV |Attached Bathroom,4.6,69,142,Property_142,Type_1
RAA 43/2 VIP Road (Raghunathpur),"Airport Zone, Dum Dum",Kolkata,West Bengal,Premium Room,35,Air Conditioning |Alarm Clock|Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ensuite / Private Bathroom|Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Refrigerator|Telephone|Shower Facility Available|Newspapers| Hot / Cold Running Water|Safe - In - Room |Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Pillow menu|TV|Mirror|Luxurious Feather Mattresses|Custom Duvets / Linen|Work Station|Dressing Area|Luggage Rack|Attached Bathroom,4.3,216,143,Property_143,Type_2
"flat no 109 , indralok apartments,old renigunta road ,Behind Reliance Mart",Old Tirchanoor Road,Tirupati,Andhra Pradesh,Standard Non Ac Room,10,Room Service |Basic Bathroom Amenities|Ceiling Fan|Telephone|TV|Luggage Rack|Attached Bathroom,2.9,3,144,Property_144,Type_0
"Next to Calangute Beach, Calangute",Calangute Area,Goa,Goa,AC Room,10,Air Conditioning | Hot / Cold Running Water|Wardrobe|Attached Bathroom,3.4,7,145,Property_145,Type_1
"Near Starco Junction,66 D Mello Vaddo, Anjuna",Anjuna Area,Goa,Goa,Casa Special,20,Air Conditioning |Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Tea Coffee Kettle / Maker|Housekeeping|Makeup / Shaving Mirror|Pay Movies|Wardrobe|HD / LCD Satellite TV |Attached Bathroom,5,2,149,Property_149,Type_2
"OLD NH-8,NEXT TO FUN N FOOD VILLAGE KAPASHERA,NEW DELHI 110037, INDIA","Delhi Airport, Mahipalpur, Aerocity",Delhi,Delhi,Deluxe Room,23,"Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Iron / Ironing board available|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Shower Facility Available|Newspapers|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Slippers|Primium Bathrooms|Shaving Kit /Dental Kit|Handheld Showers|Safe - In - Room |Fruit Basket|Coffee Table|HD / LCD Satellite TV |International Switch Plugs (on request)|Private Garden|Soundproof Windows|TV|Room Heater|Bathrobes|Mirror|Luxurious Feather Mattresses|Custom Duvets / Linen|Mini Refrigerator|Stationery Kit|Dressing Area|Luggage Rack|Attached Bathroom",4.2,218,150,Property_150,Type_0
"36,  Main Road ,",Main Road,Kanyakumari,Tamil Nadu,AC Deluxe Room,57,Room Service |Air Conditioning |Ceiling Fan|TV|Luggage Rack|Attached Bathroom,3,1,151,Property_151,Type_1
"HOSKERI VILLAGE,AREKAD POST,KODAGU",Madikeri,Coorg,Karnataka,Cottage,25,Room Service |Cable / Satellite / Pay TV available|Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Makeup / Shaving Mirror|HD / LCD Satellite TV |Mirror|Luggage Rack|Attached Bathroom,4.5,8,155,Property_155,Type_2
C 42 Greater Kailash Part 1,Greater Kailash Area,Delhi,Delhi,Standard Deluxe,16,Room Service |Air Conditioning |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Desk in Room|Makeup / Shaving Mirror|Safe - In - Room |HD / LCD Satellite TV |Mirror|Luggage Rack,3.8,36,156,Property_156,Type_0
"1504, B wing, Imperial Heights, opp Goregaon fire brigade, off goregaon link road, Goregaon west, Mumbai",Goregaon,Mumbai,Maharashtra,Standard Room,3,Room Service |Basic Bathroom Amenities|Ceiling Fan|Attached Bathroom,1,1,158,Property_158,Type_2
Marayoor P.O Munnar,Marayoor P.O,Marayoor,Kerala,Standard Room,14,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Iron / Ironing board available|Internet Connection In Room|Telephone|Shower Facility Available|Newspapers|Safe - In - Room |TV,2.7,20,159,Property_159,Type_0
"106, 4thA B Cross Road, Kasturi Nagar, Bengaluru, Karnataka, India",Kr Puram,Bangalore,Karnataka,standard,11,"Room Service |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Tea Coffee Kettle / Maker|Internet Connection In Room|Telephone|Shower Facility Available|Newspapers|Reading Lamps|Shower Caps Available|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Makeup / Shaving Mirror|Safe - In - Room |Coffee Table|TV|Mirror|Mini Refrigerator|Electronic Weighing Machine|Induction Plate|Luggage Rack|Attached Bathroom",4.3,5,160,Property_160,Type_1
"Rubber factory Juntion, civil station ward, beach road, alleppey",Others,Alleppey,Kerala,Deluxe Non A/C,10,Ceiling Fan|Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Coffee Table|HD / LCD Satellite TV |TV|Mirror|Bedside Table|Daily Room Cleaning|Extra Toilteries on Demand|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms,3,2,163,Property_163,Type_1
"Plot No. P-10, Rajiv Gandhi Infotech Park, Phase-1, Opp. Infosys, Hinjewadi, Pune",Hinjewadi,Pune,Maharashtra,Executive Room,25,Air Conditioning |Basic Bathroom Amenities|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Telephone|Newspapers|Mineral Water| Hot / Cold Running Water|Breakfast Available|HD / LCD Satellite TV,3.6,12,164,Property_164,Type_2
"Bougainvillea,  Next to Saavli Bungalow.G NO .2240, Nagaon.",Nagaon,Alibag,Maharashtra,Couple room,9,"Room Service |Basic Bathroom Amenities|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|TV|Mirror|Attached Bathroom|Daily Room Cleaning|Dustbins|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms",5,1,168,Property_168,Type_0
"Plot No: 22, 23 and 24, GIDC, Sector 25, Gandhinagar",Sector 25,Gandhinagar,Gujarat,Executive Room,200,Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Telephone|Shower Facility Available|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Shaving Kit /Dental Kit|Safe - In - Room |Wardrobe|HD / LCD Satellite TV |TV|Mirror|Attached Bathroom,3.2,47,173,Property_173,Type_2
"Model Town Rd,Mela Singh Chowk yamunanagar haryana -135001","Model Town,Near M.L.N College",Yamunanagar,Haryana,superior room,11,Room Service |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Newspapers|Mineral Water|Housekeeping|Slippers|TV|Mirror|Attached Bathroom|Clothes Hook in Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Sufficient Lighting,2.5,4,174,Property_174,Type_0
"Khariwad Opp Ice Factory Road, Vapi-Daman Mani Road,  Nani - Daman 396210.",Nani Daman,Daman,Gujarat,Basic Room,6,Room Service |Basic Bathroom Amenities|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Moisturiser|Wardrobe|Split A.C's|International Switch Plugs (on request)|TV|Mirror|Attached Bathroom|Daily Room Cleaning|Dustbins|In-room Storage Space|Room with Window/Ventilation|Breakfast chargeable,2.9,8,176,Property_176,Type_2
"Near Kallar Waterfalls, Vattiyar P.O, Kallar",Pallivasal,Munnar,Kerala,LockHart,4,Room Service |Basic Bathroom Amenities|Ceiling Fan|Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water|Housekeeping|Toiletries|TV|Mirror|Attached Bathroom,4.3,4,177,Property_177,Type_0
"Punjabi pench ,Junction Road",Dampier Nagar,Mathura,Uttar Pradesh,Non AC Economic Bed Room,26,"Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Telephone|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Makeup / Shaving Mirror|Air Cooler|Coffee Table|Sofa Table / Extra Seats |TV|Mirror|Luggage Rack",2.5,46,178,Property_178,Type_1
"Kunjithanny, Idukki Dist, Munnar",Main Town,Munnar,Kerala,Valley View,22,Room Service |Ensuite / Private Bathroom|TV|Luggage Rack|Attached Bathroom,4.4,5,181,Property_181,Type_1
"Calangute Beach, Calangute, Goa",Calangute Area,Goa,Goa,AC Deluxe,6,Room Service |Air Conditioning |Balcony / Terrace|Ceiling Fan|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Makeup / Shaving Mirror|TV|Mirror|Luggage Rack|Attached Bathroom,4.6,101,186,Property_186,Type_0
Ambavgarh- Near Kurabad House,Fatehsagar Lake,Udaipur,Rajasthan,Lake View AC Room,4,Air Conditioning |Basic Bathroom Amenities|Ceiling Fan|Telephone|Shower Facility Available|Newspapers| Hot / Cold Running Water|Toiletries|TV,4.4,17,187,Property_187,Type_1
"Ottakathalamedu,Kumily,Thekkady,Idukki District",Kumily,Thekkady,Kerala,Deluxe Cottage,6,Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Internet Connection In Room|Telephone| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Makeup / Shaving Mirror|Safe - In - Room |Wardrobe|Sofa Table / Extra Seats |TV|Mirror|Luggage Rack|Attached Bathroom,3,7,188,Property_188,Type_2
"No. 1 and 2, Hesaraghatta main road, Chikkabanavara Bangaluru",Yeshwanthpur,Bangalore,Karnataka,Suite Room,36,"Room Service |Air Conditioning |Balcony / Terrace|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Internet Connection In Room|Telephone|Washing machine|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Premium Amenities / Toiletries|Pay Movies|Air Cooler|Sofa Table / Extra Seats |Split A.C's|Snacks / Beverage|Soundproof Windows|TV|Mirror|Movies &amp; Games on demand|Attached Bathroom",3.8,33,194,Property_194,Type_2
"New No : 49, Sydenhams Road, Periyamet",Periamet,Chennai,Tamil Nadu,Non Ac  Room,32,"Room Service |Alarm Clock|Internet Connection In Room|Mineral Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Safe - In - Room |HD / LCD Satellite TV |Room Heater|Mirror|Attached Bathroom",3.9,183,195,Property_195,Type_0
"Chendre,Alibaug,Dist.Raigad 402201",Ramnath Lake Area,Alibag,Maharashtra,A/C Deluxe Room,15,Room Service |Air Conditioning |Basic Bathroom Amenities|Telephone|Newspapers| Hot / Cold Running Water|Toiletries,3,46,201,Property_201,Type_0
"Ximer, Arpora, North Goa , Goa 403518",Baga Area,Goa,Goa,Pool View 1BHK Apartment,5,"Air Conditioning |Balcony / Terrace|Cable / Satellite / Pay TV available|Ceiling Fan|Iron / Ironing board available|Tea Coffee Kettle / Maker|Kitchenette|Microwave Oven Available |Refrigerator|Toaster|Washing machine|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Safe - In - Room |HD / LCD Satellite TV |Split A.C's|Attached Bathroom",4.5,35,202,Property_202,Type_1
"Log Huts Road, Off Old Manali Road",Log Huts Area,Manali,Himachal Pradesh,Three Bedroom Cottages,4,Room Service | Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|TV|Mirror|Attached Bathroom,3.3,3,205,Property_205,Type_1
"#35,Brigade Road",City Center - Mg Road / Near,Bangalore,Karnataka,Executive Room,31,Room with Window/Ventilation,3.2,37,206,Property_206,Type_2
Vainguinim Beach,Panjim Area,Goa,Goa,Standard Room,264,Hot / Cold Running Water,4.4,48,208,Property_208,Type_1
"IGI Airport , Terminal -3","Delhi Airport, Mahipalpur, Aerocity",Delhi,Delhi,Deluxe Room,352,Room Service |Air Conditioning |Basic Bathroom Amenities|Telephone| Hot / Cold Running Water|Housekeeping|Desk in Room|Makeup / Shaving Mirror|Sofa Table / Extra Seats |TV|Mirror|Luggage Rack|Attached Bathroom,2.1,18,212,Property_212,Type_2
"Pedong Rishi Road, Kalimpong Ho, Kalimpong - 734301, Near Big Heart Tree",Pedong,Kalimpong,West Bengal,Double Bed Room,8,Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Ceiling Fan|Radio|Reading Lamps| Hot / Cold Running Water|Housekeeping|Desk in Room|Makeup / Shaving Mirror|Attached Bathroom|Dustbins,5,1,213,Property_213,Type_0
"Outer Ring Road (North), Guruvayoor, Thrissur",Outer Ring Road (North),Guruvayoor,Kerala,Deluxe Room A/C,22,"Room Service |Basic Bathroom Amenities|Ceiling Fan|Microwave Oven Available |Telephone|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Shaving Kit /Dental Kit|Safe - In - Room |Coffee Table|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|Pillow menu|Citrus Juicer|TV|Room Heater|Mirror|Luggage Rack|Attached Bathroom",4.4,24,215,Property_215,Type_2
"S.No. 127, Malgund, Nr. Ganapatipule,Ratnagiri",Malgund Village,Ganpatipule,Maharashtra,Luxury Villa,24,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Hairdryer (on request)|Tea Coffee Kettle / Maker|Mini bar - On Charge |Safe - In - Room,3.8,6,219,Property_219,Type_0
"On National Highway 8, behind 21st Century Hospital, Gunjan, GIDC, Vapi",Gidc,Vapi,Gujarat,Deluxe Room,47,Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone| Hot / Cold Running Water|Housekeeping|Breakfast Available|Window Opens|Safe - In - Room |Coffee Table|HD / LCD Satellite TV |TV|Mirror|Bedside Table|Daily Room Cleaning|Do-Not-Disturb Notice|In-room Storage Space|Modern Toilet Facilities|Western Toilet Seat,4.4,91,220,Property_220,Type_1
PRATAP NAGAR OSIAN,Others,Jodhpur,Rajasthan,SWISS TENT,77,Room Service |Basic Bathroom Amenities|Mineral Water| Hot / Cold Running Water|Toiletries,3.9,25,221,Property_221,Type_2
"hotel cabana  Behind Imperial Cinema, Lakshmi Narayan St, Chuna Mandi,New Delhi - ,India",Paharganj,Delhi,Delhi,Deluxe Room with Complimentary WI-FI,11,"Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Ensuite / Private Bathroom|Hairdryer (on request)|Heating Facility (on request) |Mini bar - On Charge |Internet Connection In Room|Telephone|Shower Facility Available|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Slippers|Premium Amenities / Toiletries|Safe - In - Room |Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's|TV|Channel Music|Mirror|Luxurious Feather Mattresses|Utensils (on request)|Local Calls Free|Dressing Area|Luggage Rack|Attached Bathroom|Clothes Hook in Bathroom|Curtains/Shades|Daily Room Cleaning|Dustbins|Extra Toilteries on Demand|In-room Storage Space|In-Room Safe|Modern Toilet Facilities|Phone Messaging Services|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Sufficient Lighting|Western Toilet Seat",4.2,47,222,Property_222,Type_0
"Yavakapady Village Post, Kabbinakkad, Madikeri Taluk",Kakkabe,Coorg,Karnataka,Type 1 Room With Breakfast And Dinner,8,"Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Coffee Table",5,5,224,Property_224,Type_2
8th mile rishi road Kalimpong,Rishi Road,Kalimpong,West Bengal,Executive Double Room,13,"Room Service |Alarm Clock|Balcony / Terrace|Basic Bathroom Amenities|Ceiling Fan|Telephone|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Reading Lamps|Shower Caps Available| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Sofa Cum Bed Available|Slippers|Premium Amenities / Toiletries|Hill View from all Rooms|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |International Switch Plugs (on request)|TV|Room Heater|Mirror|Custom Duvets / Linen|Stationery Kit|Luggage Rack|Attached Bathroom",3.4,10,227,Property_227,Type_2
Village- Guda Bishnoiyan,Others,Jodhpur,Rajasthan,Delux Hut,20,Air Conditioning |Mini bar - On Charge |Attached Bathroom,4.2,4,229,Property_229,Type_1
"K.L Bernard Master Road, Near Village Office (Santa Cruz Ground), Njaliparambu",Fort Kochi,Cochin,Kerala,AC Twin Room,4,Air Conditioning |Basic Bathroom Amenities|Telephone| Hot / Cold Running Water|HD / LCD Satellite TV |Mirror|Attached Bathroom,4.6,38,233,Property_233,Type_2
"Sipasarubali, Baliapanda, Puri, Odisha",Marine Drive,Puri,Orissa,Blue Lily Stand Room,121,Air Conditioning |Mini bar - On Charge |Telephone|Newspapers|HD / LCD Satellite TV,4.1,49,234,Property_234,Type_0
"96, KALLURI NAGAR, OPP.PSG HOSPITAL MAIN GATE, BEHIND FUN REPUBLIC MALL , PEELAMEDU. COIMBATORE - 641004",Others,Coimbatore,Tamil Nadu,Deluxe,10,Room Service |Air Conditioning |Basic Bathroom Amenities|Telephone|Housekeeping|TV|Attached Bathroom,3.1,10,235,Property_235,Type_1
"H-54, South Extension part-1, New Delhi 110049",South Extension,Delhi,Delhi,PRIVATE ROOMS,10,"Room Service |Air Conditioning |Alarm Clock|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|Newspapers|Reading Lamps|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Primium Bathrooms|Mirror|Dustbins|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin",2.8,2,236,Property_236,Type_2
"Ghat No. 17, Nehru Park, Dal Lake",Dal Lake Area,Srinagar,Jammu and Kashmir,Deluxe Room,3,"Room Service |Ceiling Fan|Reading Lamps| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|TV|Mirror|Attached Bathroom|Bathtub",4.6,1,237,Property_237,Type_0
"Azad Chowk, Circular Road, Rewari",Rewari,Rewari,Haryana,Supreme Room,30,Room Service |Air Conditioning |Cable / Satellite / Pay TV available|Ceiling Fan|Desk in Room|Toiletries|Premium Amenities / Toiletries|HD / LCD Satellite TV |Sofa Table / Extra Seats |Split A.C's,4.2,120,238,Property_238,Type_1
"1 Haridas Ji Ki Magri, Main Road, Udaipur 313001",Lake Pichola Area,Udaipur,Rajasthan,Palace Room,39,"Room Service |Tea Coffee Kettle / Maker|Breakfast Available (surcharge)|Newspapers|Shower Caps Available|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Slippers|Shaving Kit /Dental Kit|Moisturiser|Room Heater|Custom Duvets / Linen|Electronic Weighing Machine|Work Station|Dressing Area|Luggage Rack|Bathtub",4.6,21,240,Property_240,Type_0
"C-202,Essel Tower,MG Road,Gurgaon",Others,Gurgaon,Haryana,Deluxe Room,4,"Basic Bathroom Amenities|Iron / Ironing board available|Newspapers|Mineral Water|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Makeup / Shaving Mirror|Dressing Area|Luggage Rack",2,1,241,Property_241,Type_1
"evora 803, forlezela kalyaninagar, opp gold big cinemas",Kalyani Nagar,Pune,Maharashtra,Standard AC,16,"Microwave Oven Available |Internet Connection In Room|Telephone|Shower Facility Available|Newspapers| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Blackout Drapes|Coffee Table|Wardrobe|HD / LCD Satellite TV |Sofa Table / Extra Seats |Studio Apartment - Large|Mirror|Luxurious Feather Mattresses|Utensils (on request)|Gas Cylinder - Chargeable|Dressing Area|Luggage Rack|Attached Bathroom",3.7,17,250,Property_250,Type_1
"28,2nd floor,305,Bellasis road,S.M. Mansion above anna leela hotel",Mumbai Airport,Mumbai,Maharashtra,Standard AC Room,16,"Room Service |Air Conditioning |Basic Bathroom Amenities|Telephone|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|HD / LCD Satellite TV",2.5,6,251,Property_251,Type_2
